PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
478,0,0,0,77.21,-130.05,0,0,0,0
479,0,0,0,78.85,-130.16,0,0,0,0
480,0,0,0,78.75,-132.59,0,0,0,0
481,0,0,0,77.06,-132.51,0,0,0,0
482,0,0,0,76.95,-134.4,0,0,0,0
483,0,0,0,78.67,-134.51,0,0,0,0
484,0,0,0,78.57,-136.99,0,0,0,0
485,0,0,0,76.88,-136.89,0,0,0,0
486,0,0,0,78.55,-137.02,0,0,0,0
487,0,0,0,78.43,-139.48,0,0,0,0
488,0,0,0,76.78,-139.38,0,0,0,0
489,0,0,0,76.38,-141.15,0,0,0,0
490,0,0,0,78.25,-141.28,0,0,0,0
491,0,0,0,78.14,-143.75,0,0,0,0
492,0,0,0,76.32,-143.65,0,0,0,0
493,0,0,0,78.13,-143.8,0,0,0,0
494,0,0,0,78.01,-146.25,0,0,0,0
495,0,0,0,76.17,-146.14,0,0,0,0
496,0,0,0,85.28,-144.13,0,0,0,0
497,0,0,0,84.34,-144.08,0,0,0,0
498,0,0,0,84.19,-146.58,0,0,0,0
499,0,0,0,85.08,-146.63,0,0,0,0
500,0,0,0,85.31,-141.64,0,0,0,0
501,0,0,0,84.5,-141.59,0,0,0,0
502,0,0,0,84.32,-144.13,0,0,0,0
503,0,0,0,85.55,-137.95,0,0,0,0
504,0,0,0,84.72,-137.9,0,0,0,0
505,0,0,0,84.57,-140.41,0,0,0,0
506,0,0,0,85.4,-140.45,0,0,0,0
507,0,0,0,85.64,-135.47,0,0,0,0
508,0,0,0,84.88,-135.41,0,0,0,0
509,0,0,0,84.73,-137.92,0,0,0,0
510,0,0,0,75.3,-156.24,0,0,0,0
511,0,0,0,77.34,-156.34,0,0,0,0
512,0,0,0,77.24,-158.85,0,0,0,0
513,0,0,0,75.34,-158.74,0,0,0,0
514,0,0,0,77.23,-158.91,0,0,0,0
515,0,0,0,77.13,-161.36,0,0,0,0
516,0,0,0,75.15,-161.22,0,0,0,0
517,0,0,0,74.86,-163.79,0,0,0,0
518,0,0,0,76.91,-163.95,0,0,0,0
519,0,0,0,76.78,-166.44,0,0,0,0
520,0,0,0,74.62,-166.28,0,0,0,0
521,0,0,0,76.79,-166.47,0,0,0,0
522,0,0,0,76.64,-168.9,0,0,0,0
523,0,0,0,74.48,-168.76,0,0,0,0
524,0,0,0,74.3,-171.27,0,0,0,0
525,0,0,0,76.42,-171.42,0,0,0,0
526,0,0,0,76.28,-173.9,0,0,0,0
527,0,0,0,74.18,-173.77,0,0,0,0
528,0,0,0,76.26,-173.91,0,0,0,0
529,0,0,0,76.15,-176.39,0,0,0,0
530,0,0,0,74.03,-176.25,0,0,0,0
531,0,0,0,74.01,-178.78,0,0,0,0
532,0,0,0,76.02,-178.9,0,0,0,0
533,0,0,0,75.89,-181.38,0,0,0,0
534,0,0,0,73.83,-181.25,0,0,0,0
535,0,0,0,75.88,-181.41,0,0,0,0
536,0,0,0,75.76,-183.87,0,0,0,0
537,0,0,0,73.65,-183.74,0,0,0,0
538,0,0,0,73.42,-185.63,0,0,0,0
539,0,0,0,75.61,-185.75,0,0,0,0
540,0,0,0,75.52,-188.23,0,0,0,0
541,0,0,0,73.38,-188.12,0,0,0,0
542,0,0,0,75.5,-188.24,0,0,0,0
543,0,0,0,75.37,-190.73,0,0,0,0
544,0,0,0,73.36,-190.63,0,0,0,0
545,0,0,0,74.3,-193.81,0,0,0,0
546,0,0,0,75.16,-193.86,0,0,0,0
547,0,0,0,75.02,-196.35,0,0,0,0
548,0,0,0,73.59,-196.27,0,0,0,0
549,0,0,0,75,-196.39,0,0,0,0
550,0,0,0,74.86,-198.83,0,0,0,0
551,0,0,0,73.48,-198.75,0,0,0,0
552,0,0,0,73.23,-201.28,0,0,0,0
